,translation,reol,Act,Chapter,type,code
16120,——我非常重要的朋友自杀了。,system,02,01,Adv,02
16121,她叫月代雪。,system,02,01,Adv,02
16122,当我推开房门时，那根上吊绳还静静地悬挂在原地。,system,02,01,Adv,02
16123,我抬头怒视那根为她准备好的绞索。,system,02,01,Adv,02
16124,我将背脊挺得笔直，视线穿过那为了扼住她的咽喉而存在的圆环——过于刺眼的憎恶，让我咬紧了牙关。,system,02,01,Adv,02
16125,我无法原谅。无法原谅小雪的生命，就这么被区区一根绳子夺走。,system,02,01,Adv,02
16126,对我而言，这是不可饶恕的行为。对我而言，这是不正确的行为。,system,02,01,Adv,02
16127,我最崇尚的就是【正确】。,system,02,01,Adv,02
16128,这个世界上，不该允许有哪怕一丝一毫的错误存在。,system,02,01,Adv,02
16129,清澈的湖水中若是掺入一滴毒素，生灵便会死绝。,system,02,01,Adv,02
16130,精致的画布上若是划出一道划痕，艺术的价值便随之泯灭。,system,02,01,Adv,02
16131,完美的和声中若是混进一个错误的音符，就会沦为刺耳的不协和音。,system,02,01,Adv,02
16132,祈盼着正确的大脑中若是寄生了一只害虫——,system,02,01,Adv,02
16133,整个世界，便会崩塌。,system,02,01,Adv,02
16134,——在绞索圆环的彼端，我看见了造就这个错误世界的罪魁祸首。,system,02,01,Adv,02
16135,樱羽艾玛。,system,02,01,Adv,02
16136,从那一刻起，“自杀”成为了在我心中最不可触碰的【禁忌】。,system,02,01,Adv,02
16137,——我眨眨眼，望向天花板。,system,02,01,Adv,03
16138,刚才的梦让我一时间有些混乱，但我很快就理解了现状。,system,02,01,Adv,03
16139,——这是【回溯了】吗……,hiro,02,01,Adv,03
16140,那就得从头开始了。,hiro,02,01,Adv,03
16141,我向着熟悉的天花板，如此喃喃自语道。,system,02,01,Adv,03
16142,我被安排睡在昏暗牢狱中的双层床上铺。,system,02,01,Adv,03
16143,然后。,system,02,01,Adv,03
16144,咦，怎、怎么回事，这里是……？,ema,02,01,Adv,03
16145,下铺睡着的是樱羽艾玛。,system,02,01,Adv,03
16146,牢、牢房……！？为什么！？,ema,02,01,Adv,03
16147,我说，这里究竟是什么地方！？,ema,02,01,Adv,03
16148,当艾玛抓住铁栅栏大喊时，四周几乎同时响起了少女们夹杂着尖叫的声音。,system,02,01,Adv,03
16149,（吵死了）,hiro,02,01,Adv,03
16150,喧闹声让我心烦意乱。为了让自己冷静下来，我深深地吸了一口气。,system,02,01,Adv,03
16151,我早已知道，和我同室的是艾玛。,system,02,01,Adv,03
16152,我早已知道，我会和最不想见到的人再会。,system,02,01,Adv,03
16153,已经是第二次了，我不会有丝毫动摇。,system,02,01,Adv,03
16154,（没事，我能作出正确行动）,hiro,02,01,Adv,03
16155,（——即使看到她那张脸，我也能保持冷静）,hiro,02,01,Adv,03
16156,我坐起身，轻盈地从床上一跃而下。,system,02,01,Adv,03
16157,啊，艾玛。,hiro,02,01,Adv,03
16158,我在她背后向她搭话。艾玛吓得肩头一颤，转过身来。,system,02,01,Adv,03
16159,——！！,ema,02,01,Adv,03
16160,艾玛惊愕地看着我。我甚至还能对这样的她露出微笑。,system,02,01,Adv,03
16161,没什么好惊讶的。你我成为了室友。仅此而已。,hiro,02,01,Adv,03
16162,欸？欸……？,ema,02,01,Adv,03
16163,本以为自己可以保持平静。但心里还是不由得泛起了波澜。,system,02,01,Adv,03
16164,（为什么你又出现在我面前）,hiro,02,01,Adv,03
16165,心中涌起焦躁，难以忍受的窒息感使得我从艾玛身上移开视线。,system,02,01,Adv,03
16166,啊，你看，快开始了。,hiro,02,01,Adv,03
16167,我不顾还在目瞪口呆的艾玛，边说边指向房间里的显示屏幕。,system,02,01,Adv,03
16168,啊……喂喂……看得见画面吗……？毕竟机器有好些年头了，故障特别多……唉呀呀。,warden,02,01,Adv,03
16169,大家好，我是典狱长。,warden,02,01,Adv,03
16170,我想给大家作详细说明，请各位到会客厅来集合。,warden,02,01,Adv,03
16171,我会给大家打开牢房的锁，之后请大家跟着带路的看守。,warden,02,01,Adv,03
16172,想反抗也没问题……只不过小命不保罢了……嗯……,warden,02,01,Adv,03
16173,看着屏幕上播放的画面，我思考着。,system,02,01,Adv,03
16174,不该存在于世上的怪物。还有，最重要的是——与艾玛的再会。,system,02,01,Adv,03
16175,上次，我在这个时候，被摆在眼前的事实乱了阵脚。,system,02,01,Adv,03
16176,但我必须恢复冷静。我开始深呼吸，尽可能地平息心中的躁动。,system,02,01,Adv,03
16177,（虽说内心产生了动摇，但我那时确实不应该那么做）,hiro,02,01,Adv,03
16178,（为什么当时会冲动到那个地步……）,hiro,02,01,Adv,03
16179,我清晰记得自己到底有多么冲动鲁莽。那根本就不像平时的我。,system,02,01,Adv,03
16180,（必须保持理智。——【那个】马上要来了）,hiro,02,01,Adv,03
16181,典狱长……？看守……？,ema,02,01,Adv,03
16182,噫……,ema,02,01,Adv,03
16183,（这座监牢的看守……就是上次杀死我的怪物）,hiro,02,01,Adv,03
16184,希、希罗……,ema,02,01,Adv,03
16185,脸色苍白的艾玛紧紧抓住了我的手臂。,system,02,01,Adv,03
16186,涌上一股甩开她的冲动。但我还是忍下来了，决定暂时按兵不动。,system,02,01,Adv,03
16187,我眯起眼睛，仔细观察着看守。不出所料，那显然是某种非人的东西。,system,02,01,Adv,03
16188,……现在只能接受现实。反抗那个怪物是错误的。,system,02,01,Adv,03
